id,text,label
0,Drug Runners and  a U.S. Senator have something to do with the Murder http://www.amazon.com/Circumstantial-Evidence-Getting-Florida-Bozarth-ebook/dp/B004FPZ452/ref=pd_rhf_p_t_1 The State Attorney Knows... NOW So Will You. GET Ypur Copy TODAY,neutral
1,"Heres a single, to add, to Kindle. Just read this 19th century story: ""The Ghost of Round Island"". Its about a man (French/American Indian) and his dog sled transporting a woman across the ice, from Mackinac Island to Cheboygan - and the ghost that...",neutral
2,If you tire of Non-Fiction.. Check out http://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=danielle+lee+zwissler+&x=0&y=0,neutral
3,Ghost of Round Island is supposedly nonfiction.,neutral
4,Why is Barnes and Nobles version of the Kindle so much more expensive than the Kindle?,negative
5,"@Maria:  Do you mean the Nook?  Be careful, books you buy for the Kindle are for that piece of electronics, and vice versa.  I love my Kindle, there are people that swear by the Nook.  They like the color screen.Me?  I want an ereader that is a reader-- so I dont need color.  The kindle battery lasts longer, and the unit isnt as heavy, which can make a difference after reading for a few hours. :)",positive
6,kindle is awesome! mines great,positive
7,I love mine!!!!,positive
8,Meh. I think Singles are a bad idea. Big name authors already dominate the market by a huge factor. Now you are letting them compete on price point with indie authors (albeit giving less content for the money).,negative
9,My daugjhter loves hers!,positive
10,I am not sure if i just got my update but now i dont have location numbers unless i press the menu button.  But i also dont have page numbers! Am i doing something wrong?,negative
11,"Got a Kindle for Xmas and I love it.   Never was much of a book reader, but this has been fun.  I am on my 5th book since Christmas!",positive
12,"I dont have the patience for kindle singles. If Im gonna read, I need at least 200 pages.",positive
13,Love the new singles ~ am reading Jodi Picoults right now while waiting till Tuesday for her new book to come out!,positive
14,"Not a fan of Kindle Singles.  They clog up the Kindle Book page and its tough to sort through full-legnth new releases because there are so, so many Singles there.",negative
15,Best thing since sliced bread.,positive
16,we love our kindles......,positive
17,can anybody tell me if the FREE chapters of TICK TOC by Patterson are a summary of each chapter or the real deal....my kindle jumps 5-10 % of read with each page I read and I have real big text...thank you!,positive
18,"Love  my kindle, too!  Also enoyed the New York Times article...thought provoking as well kindle loving.",positive
19,Yeah once u get a kindle its hard to put it down sumtimes because there r so many books to choose from I luv mine as well,positive
20,What is a single?,neutral
21,anyone know how to legthen the time before the kindle go into screen saver mood????????,positive
22,"LOVE my Kindle..not sure if I got the update or not, though because I dont see any difference when I read. Color? I dont need color to read so Kindle is perfect. And Singles, Ive read a few, not  really a fan or not oen way or another..I just like to read so I read whatever looks interesting at the time. Did I say....LOVE my Kindle? I sure do!!",positive
23,Its just too bad you arent offering these for the Original Kindle.  Seems like those of us who got on your bandwagon first are just left in the dust.,negative
24,love this kindle....,positive
25,AND Then There IS www.amazon.com/Circumstantial-Evidence-Getting-Florida-Bozarth-ebook/dp/B004FPZ452/ref=pd_rhf_p_t_1  CAN You Solve this Mystery.  Get your Copy TODAY on Amazon for Kindle,neutral
26,"you arent missing a thing, I tried this game and it sucks!",neutral
27,I have a couple games on my kindle...only problem is my family seems to think I put them on there for them...,negative
28,why dont you make it free? Its not all about money you know...,neutral
29,So let me get this straight...Kindle is now a gaming device?  Dont jump the shark Kindle...please dont!,negative
30,True Anders...although they are in it for the money:) Otherwise they wouldnt be in existence.,neutral
31,Can we play these games on the kindle app on ipad?,neutral
32,"Mr. Meisch, its ok; calm down :-P. Yes, they have games but the ones that I have tried (I have about 5 on my Kindle along with 30 gazillion books) are either text based or just simple time killers. So far they are actually decent (well, what Ive tried is anyway. Ive heard of some awful ones).I have the one they are touting here and its... ok. Not my favorite (try Triple Town; its addictive) but this one is decent enough. The beginning is too easy by far, the middle is good and the end levels are killer.",positive
33,Is that right? Only the original Kindle? What about the 2nd generation?,neutral
34,"They have free games also: blackjack, poker and word games.",positive
35,I love Every Word and Video Poker. For when your not reading.,positive
36,Are there any stand-alone interactive fiction (text adventure) games? I know there are some online ones but I dont have 3g and Id like to play away from wifi.,neutral
37,Kindle is a book... Stop making it into somthing its not...leave the games to other moble devices...,neutral
38,Has anyone developed any games for the 1st generation Kindle?  Im not going to get a new one just to play games...Even though I would like to have the option...,positive
39,"I play Triple Town its fun...if you dont want the games, dont get them!",neutral
40,I have a few games on my kindle and I enjoy them.  I also enjoy the fact that while traveling I dont have to take multiple devices in order to stay busy while on an airplane or riding in a car.,positive
41,"If you dont like the games, dont buy them. I have a few games and its fun to be able to play a few games when I dont feel like reading. Not all of us have those fancy schmancy smart phones.",positive
42,"How does the kindle having an ""OPTION"" to download and play games on it ruin the experience of your Kindle? Complaining about it doesnt make any sense.",negative
43,Yes De ra you can get it on the iPad. I just bought it.,neutral
44,love playing games on my kindle.,positive
45,Love triple town too ,positive
46,Some people just love to complain about everything. Like someone said if you dont want the games dont get them. Duh!!!!,positive
47,"um,how how do you play this on the kindle?",neutral
48,got it and it is so much fun and very addicting,positive
49,You can play it on the original. I just downloaded it for 99 cents,neutral
50,Its harder to play because you dont have color. Just pretend ,negative
51,"Some people may want games on their Kindle,thats fine, but i prefer to use my Kindle as a EReader.   Love My Kindle !!!!",positive
52,I dont have color on my kindle..maybe I will wait for others to say how they like it.,positive
53,OK I bit,neutral
54,kindle just 4 months old and went kaput!  wont turn on,neutral
55,Call customer service and they will replace it immediately no questions asked.,neutral
56,LOVE my Kindle....reading and I play Scrabble...love this thing:),positive
57,@Fitzwater Gale - No one has color on their Kindle.,neutral
58,Sure do LOVE my KINDLE!,positive
59,I love my Kindle!!!,positive
60,Best present ever... and I didnt even ask for one! My Mum knows me so well! <3,positive
61,love my new 3G kindle too!!,positive
62,me too!  I love my kindle!,positive
63,old school kindle 4 life,neutral
64,My kindle is one of my most prized possessions,neutral
65,:)),positive
66,My Beloved,positive
67,"I got one for my birthday and I just <3 it!!!! Its awesome, I can put all my books into it....btw, does anyone know how to get books onto your Kindle that you have previously bought in paper??????",positive
68,"I love my favorite thing, my Kindle",positive
69,"LOVE, LOVE my Kindle. It is so easy and convenient to take with me everywhere.  ♥",positive
70,my husband bought me one i use it daily it is awesome words can say it,positive
71,I love my kindle!,positive
72,Love my kindle too!,positive
73,Just wish I had more time to read for pleasure..not just for school,neutral
74,i think you have the beginning to a great country song!,positive
75,Each day I like my Kindle more than the day before.   I am a total fan.,positive
76,Clara not all books can be gotten on kindle but you can check them out on Amazon.,neutral
77,No loosing my bookmarks again !! My kindles the only thing i allow In my bed at night :) !!,positive
78,I stay up reading now til my eyes just wont stay open! <3 my kindle!,neutral
79,"@Cara Bolton. Unfortunately, you have to re-purchase them, which I just did yesterday with three books. I figure, its worth the investment. :)",positive
80,"I love every minute I spend with my new friend, MY Kindle.  I read myself to sleep every night.  Love the beautiful red leather lighted cover!  I NEVER leave home w/o it!",positive
81,"If it werent for all the typ0s, spelling errors, missingspaces and stuff in every single book (no matter what price) my Kindle would be the best thing ever!!",positive
82,would love a program to allow us to sell back read books and or games for a kindle credit. how about it!,positive
83,would love a program to allow us to sell back read books and or games for a kindle credit. how about it!,positive
84,"Just dropped my quality medical mystery to 99 cents for kindle just to show that price has nothing to do with quality writing. Title is Floaters, not to be confused with Joe Konraths or Joe Waumgauhs Floaters.",negative
85,iPad + Kindle app = AWESOME!,positive
86,"I really like the Kindle. Difficult to write sentences and use some word games due to the tiny letters. Overall, the Kindle is wonderful.",neutral
87,i love mine enough to marry the dam thing,positive
88,"Some day I may have one then I would be more than happy to think or even compose a ""song""....till then...............whawha",positive
89,Me too!!!  I love my Kindle!!!,positive
90,i love mine - thanks margie,positive
91,just love it!!,positive
92,Thanks @John Zaffino,neutral
93,I have loved my kindle ever since I first was given mine almost 2 yrs ago now :),positive
94,love my kindle best thing invented,positive
95,Love my Kindle! Best thing ever!!!,positive
96,Agree with all the above - LOVE MY Kindle 3G!  :),positive
97,I bought Kindles for 2 sisters who love to read. They were so excited. Shortly afterwards a friend bought me a Kindle. I now know what the rave is all about. I havent put it down. And getting books are easier than going to bookstores; and cheaper. Thx,positive
98,Love my kindle !,positive
99,"I love, love, my Kindle...my only caveats....I miss the wonderful artwork on the covers of paperbacks..and photos in magazines..and I love to share my books with others, so I cant loan any to my young adult kids and friends..bummer..and how many can you archive? I like to re-read some of my books.",positive
100,I love my Kindle - it is a must have,positive
101,I love love love my Kindle!!,positive
102,I love mine too.,positive
103,I love my Kindle.  I have had it for several years.  I asked them at Staples how you go about upgrading my Kindle but they had no clue.,positive
104,"I want a Kindle soooo badly! Ive got in on my b-day ""want"" list :)",positive
105,This site is so helpful. I got my books into categories. I have to figure out how to highlight to check a word in the dictionary. ,positive
106,"Kindles rule , they should have them in school , theyre so cool,lalala,A Kindle read is better than speed, lalala! Ok, Im guessing I fail as a songwriter! Ill stick to reading on my Kindle!",positive
107,i bet theres a book to download for that...,neutral
108,Yesterday / When my Kindle seemed so far away ...,neutral
109,Suddenly / Waiting time is half of what it used to be,neutral
110,"I love my kindle also but I do have one problem. My favorite authors are John Saul, Robin Cook and Patricia Cornwell but I cant ever find them on the free list. :(",positive
111,"Love, love, love, my Kindle!!",positive
112,Took my Kindle with me on our 10 day cruise Awesome!!!!,positive
113,"I have a Kindle. Dont you want one too?If you get a kindle, Ill share my books with you!",neutral
114,I love my kindle thanks honey,positive
115,My husband tells me that my Kindle is my true love!,positive
116,Best present i ever got was my kindle!! the battery lasts for months!!,positive
117,"I lovingly refer to my Kindle as my ""Crackle"" because its so addictive!",neutral
